ip_address,city_network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,postal_code,latitude,longitude,accuracy_radius,continent_code,country_iso_code,subdivision_1_iso_code,subdivision_2_iso_code,metro_code,time_zone,is_in_european_union,asn_network,autonomous_system_number,is_tor_node
A:202.182.99.129,B:202.182.96.0/21,C:1857136,D:6252001,E:,F:0,G:140-0001,H:35.6164,I:139.7425,J:20,K:AS,L:JP,M:13,N:,O:,P:Asia/Tokyo,Q:0,R:202.182.96.0/19,S:20473,T:1
A:45.83.104.137,B:45.83.104.0/22,C:2861650,D:2921044,E:,F:0,G:90431,H:49.4423,I:11.0191,J:20,K:EU,L:DE,M:BY,N:,O:,P:Europe/Berlin,Q:1,R:45.83.104.0/22,S:197540,T:1
A:185.40.4.150,B:185.40.4.0/24,C:3143244,D:3577718,E:,F:0,G:0031,H:59.9133,I:10.7389,J:20,K:EU,L:NO,M:03,N:,O:,P:Europe/Oslo,Q:0,R:185.40.4.0/24,S:200195,T:1
A:45.84.107.76,B:45.84.104.0/22,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:45.84.107.0/24,S:214503,T:1
A:45.84.107.198,B:45.84.104.0/22,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:45.84.107.0/24,S:214503,T:1
A:45.84.107.182,B:45.84.104.0/22,C:2661886,D:2661886,E:,F:0,G:,H:59.3247,I:18.0560,J:500,K:EU,L:SE,M:,N:,O:,P:Europe/Stockholm,Q:1,R:45.84.107.0/24,S:214503,T:1
A:172.81.131.156,B:172.81.131.0/24,C:4887398,D:6252001,E:,F:0,G:60616,H:41.8486,I:-87.6288,J:20,K:NA,L:US,M:IL,N:,O:602,P:America/Chicago,Q:0,R:172.81.128.0/21,S:27176,T:1
A:172.81.132.94,B:172.81.132.0/23,C:6252001,D:6252001,E:,F:0,G:,H:37.7510,I:-97.8220,J:1000,K:NA,L:US,M:,N:,O:,P:America/Chicago,Q:0,R:172.81.128.0/21,S:27176,T:1
A:31.129.22.65,B:31.129.22.0/24,C:2732773,D:2017370,E:,F:0,G:4900-033,H:41.6929,I:-8.8391,J:20,K:EU,L:PT,M:16,N:,O:,P:Europe/Lisbon,Q:1,R:31.129.22.0/24,S:215540,T:1
A:212.38.189.186,B:212.38.188.0/22,C:2635167,D:2635167,E:,F:0,G:,H:51.4964,I:-0.1224,J:200,K:EU,L:GB,M:,N:,O:,P:Europe/London,Q:0,R:212.38.188.0/22,S:20860,T:1
